year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1976,"M","IAI",15,2845.833,347,469.0555,81.2,16.35,15.93,13.65,10589.44,4044,4.617824
1976,"M","Other",23,1952.909,592.4243,465.606,92.22121,16.52424,15.72242,14.24424,11885.7,4044,4.891978
1976,"M","Raytheon",14,1382.941,626.5883,410.1176,85.85883,15.84706,14.92824,14.32059,11353.35,4044,8.055551
1977,"S","Bombardier",77,2210.489,272.9575,468.5638,86.31702,14.85213,14.63692,11.69532,7786.436,4610,5.169464
1977,"S","Cessna",56,1395.303,211.1053,361.75,77.63158,10.08447,13.37895,14.51329,5522.119,4610,2.950136
1977,"M","Dassault",7,1780,700,466,90,20,17.15,6.32,13000,4610,10.61266
1977,"S","Dassault",13,1900,251,492,82.2,14.4,13.86,13.08,8627.5,4610,6.989812
1977,"L","Gulfstream",13,3715,1269,505,90.9,50.7,24.36,20.98,29710,4610,23.00184
1977,"M","IAI",22,2905,347,469,81.2,16.5,15.93,13.65,10660,4610,4.874332
1977,"M","Other",26,2236.697,689.697,467.5757,92.96364,16.6,16.63545,15.0597,14607.55,4610,5.139389
1977,"M","Raytheon",13,2550,604,436,91.6,16.6,15.46,14.33,11567,4610,8.388534
1978,"S","Bombardier",76,2161.617,274.0522,468.7652,86.61565,14.76696,14.698,11.73078,7786.348,5050,5.200858
1978,"S","Cessna",78,1593.011,229.587,376.1522,76.66413,10.93663,13.73902,15.00783,5955.5,5050,2.984038
1978,"M","Dassault",14,1890.826,700,466.7826,89.50435,20.41304,17.26913,7.410435,13417.7,5050,11.44306
1978,"S","Dassault",15,1900,251,492,82.2,14.4,13.86,13.08,8627.5,5050,8.06039
1978,"L","Gulfstream",18,3715,1269,505,90.9,50.7,24.36,20.98,29710,5050,23.0533
1978,"M","IAI",13,2905,347,469,81.2,16.5,15.93,13.65,10660,5050,5.138031
1978,"M","Other",17,2120.952,706.6667,477.1429,92.22857,18.00476,16.04619,14.74905,13835.81,5050,5.302379
1978,"M","Raytheon",29,2550,604,436,91.6,16.6,15.46,14.33,11567,5050,8.70859
1979,"S","Bombardier",74,2140.103,275.4124,468.6186,86.85155,14.71959,14.70072,11.69701,7764.33,5514,5.151056
1979,"S","Cessna",113,1683.64,237.964,382.6763,76.20071,11.3295,13.90223,15.23194,6151.403,5514,2.97524
1979,"M","Dassault",11,2077.383,700,468.1,88.67,21.10833,17.46967,9.246,14120.82,5514,11.40984
1979,"S","Dassault",11,1900,251,492,82.2,14.4,13.86,13.08,8627.5,5514,8.498224
1979,"L","Gulfstream",13,3753.5,1276.6,504.5,90.92,50.7,24.456,21.254,29900.5,5514,22.75185
1979,"M","IAI",21,2905,347,469,81.2,16.5,15.93,13.65,10660,5514,5.473626
1979,"M","Other",28,2014.906,560.9375,479.5313,88.5625,16.17188,16.0725,14.45094,12920.66,5514,5.370743
1979,"M","Raytheon",23,2550,604,436,91.6,16.6,15.46,14.33,11567,5514,9.11185
1980,"L","Bombardier",5,3352,1035,460,80.5,40.7,20.85,19.61,19550,6086,20.71795
1980,"S","Bombardier",83,2241.322,276.0268,468.7054,86.16339,14.95268,14.74455,11.72929,7912.902,6086,5.126146
1980,"S","Cessna",117,1794.439,246.9324,389.6081,75.36689,11.8398,14.07696,15.47135,6353.905,6086,2.977369
1980,"M","Dassault",24,2565.219,700,471.5208,86.42917,22.93438,17.97771,13.89625,15933.68,6086,19.45722
1980,"S","Dassault",14,1900,251,492,82.2,14.4,13.86,13.08,8627.5,6086,10.11188
1980,"L","Gulfstream",14,4059.474,1337,500.5263,91.07895,50.7,25.21895,23.43158,31414.47,6086,22.55642
1980,"M","IAI",39,2905,347,469,81.2,16.5,15.93,13.65,10660,6086,5.729306
1980,"M","Other",28,1713,400,490,84,15.6,15.27,13.61,10435,6086,7.254622
1980,"M","Raytheon",36,2550,604,436,91.6,16.6,15.46,14.33,11567,6086,9.389373
1981,"L","Bombardier",19,3352,1035,460,80.5,40.7,20.85,19.61,19550,6599,20.81748
